code,channel,p,n_blocks,frame_errors,fer,fer_ci_lo,fer_ci_hi,bit_errors,total_info_bits,ber,ber_ci_lo,ber_ci_hi,decode_time_total_s,decode_time_per_block_ms,throughput_kbit_s
"reedsolo RS(255,223)",BSC,0.004000000000000001,10000,42,0.0042,0.002932445102727302,0.0054675548972726975,666,17840000,3.733183856502242e-05,3.4496595941256646e-05,4.016708118878819e-05,22.624574543326162,2.2624574543326164,788.523115245165
"reedsolo RS(255,223)",BSC,0.004831305031250703,10000,202,0.0202,0.01744259554044025,0.02295740445955975,3194,17840000,0.0001790358744394619,0.00017282732996377136,0.00018524441891515242,23.433435373939574,2.3433435373939573,761.305361988876
"reedsolo RS(255,223)",BSC,0.005835377076247093,10000,810,0.081,0.07565243174517614,0.08634756825482387,13268,17840000,0.0007437219730941704,0.0007310716273445187,0.0007563723188438221,38.72999379003886,3.872999379003886,460.6249124829023
"reedsolo RS(255,223)",BSC,0.007048121656929397,10000,2418,0.2418,0.23340779450432722,0.2501922054956727,40991,17840000,0.002297701793721973,0.0022754837424683646,0.002319919844975582,22.98127641598694,2.298127641598694,776.2841226516726
"reedsolo RS(255,223)",BSC,0.008512906405497508,10000,5259,0.5259,0.5161131567075793,0.5356868432924208,94220,17840000,0.005281390134529148,0.005247755795862349,0.005315024473195947,20.67668241611682,2.067668241611682,862.8076613535586
"reedsolo RS(255,223)",BSC,0.010282111886861619,10000,8106,0.8106,0.8029202097566144,0.8182797902433856,159655,17840000,0.00894927130044843,0.008905569389676998,0.008992973211219862,17.975682041142136,1.7975682041142136,992.4519113749569
"reedsolo RS(255,223)",BSC,0.012419004722719295,10000,9587,0.9587,0.9547999294712018,0.9626000705287981,216333,17840000,0.012126289237668161,0.012075499809656326,0.012177078665679996,16.694350417121314,1.6694350417121313,1068.6249871515656
"reedsolo RS(255,223)",BSC,0.014999999999999996,10000,9967,0.9967,0.9955759250480507,0.9978240749519494,267743,17840000,0.015008015695067264,0.014951595233842988,0.01506443615629154,16.523899998981506,1.6523899998981506,1079.6482671221452
