code,channel,p,n_blocks,frame_errors,fer,fer_ci_lo,fer_ci_hi,bit_errors,total_info_bits,ber,ber_ci_lo,ber_ci_hi,decode_time_total_s,decode_time_per_block_ms,throughput_kbit_s
"galois BCH(15,7)",BSC,0.003,100000.0,2.0,2e-05,0.0,4.77183086352685e-05,6.0,700000.0,8.571428571428571e-06,1.7128866855755733e-06,1.542997045728157e-05,70.19999999999999,0.702,9.971509971509974
"galois BCH(15,7)",BSC,0.0050043,100000.0,11.0,0.00011,4.499772952888491e-05,0.0001750022704711151,20.0,700000.0,2.857142857142857e-05,1.604962678414572e-05,4.109323035871142e-05,89.9,0.899,7.78642936596218
"galois BCH(15,7)",BSC,0.0083477,100000.0,29.0,0.00029,0.0001844660755282928,0.0003955339244717072,52.0,700000.0,7.428571428571429e-05,5.409537711170949e-05,9.447605145971908e-05,124.7,1.247,5.613472333600642
"galois BCH(15,7)",BSC,0.013925,100000.0,106.0,0.00106,0.0008583126285996071,0.0012616873714003927,203.0,700000.0,0.00029,0.0002501119258524556,0.0003298880741475444,176.9,1.769,3.95703787450537
"galois BCH(15,7)",BSC,0.023228,100000.0,435.0,0.00435,0.003942099677323001,0.004757900322676999,846.0,700000.0,0.0012085714285714286,0.0011271796354912907,0.0012899632216515665,255.39999999999998,2.554,2.74079874706343
"galois BCH(15,7)",BSC,0.038746,100000.0,1718.0,0.01718,0.01637461294683761,0.017985387053162393,3413.0,700000.0,0.004875714285714285,0.0047125350712683275,0.005038893500160243,366.3,3.663,1.911001911001911
"galois BCH(15,7)",BSC,0.06463304070095653,100000,6399,0.06399,0.062473115998951015,0.065506884001049,12608,700000,0.01801142857142857,0.017699873842106098,0.018322983300751043,490.478673209087,4.90478673209087,1.4271772418157636
"galois BCH(15,7)",BSC,0.1078144099141388,100000,20215,0.20215,0.1996608356699406,0.20463916433005938,41439,700000,0.05919857142857143,0.05864571591044323,0.059751426946699625,623.7872286658967,6.237872286658967,1.1221775115484502
"galois BCH(15,7)",BSC,0.17984527509568232,100000,49997,0.49997,0.4968709678986133,0.5030690321013868,109850,700000,0.15692857142857142,0.15607647205173794,0.1577806708054049,689.2059471239336,6.892059471239336,1.0156615782569929
"galois BCH(15,7)",BSC,0.29999999999999993,100000,85183,0.85183,0.8496280235122378,0.8540319764877622,217881,700000,0.31125857142857144,0.3101739059583933,0.3123432368987496,678.8004221661249,6.788004221661249,1.0312309437967422
