code,channel,p,n_blocks,frame_errors,fer,fer_ci_lo,fer_ci_hi,bit_errors,total_info_bits,ber,ber_ci_lo,ber_ci_hi,decode_time_total_s,decode_time_per_block_ms,throughput_kbit_s
"galois RS(15,11)",BSC,0.003000000000000001,100000,65,0.00065,0.0004920311130633629,0.000807968886936637,201,4400000,4.568181818181818e-05,3.9366554278046125e-05,5.1997082085590234e-05,163.27827812707983,1.6327827812707982,26.94785889752874
"galois RS(15,11)",BSC,0.005004301611600179,100000,297,0.00297,0.0026327216930996005,0.0033072783069003995,959,4400000,0.00021795454545454546,0.0002041613349232619,0.000231747755985829,228.60559770802502,2.28605597708025,19.247122748147568
"galois RS(15,11)",BSC,0.00834767820662138,100000,1214,0.01214,0.011461244885627813,0.012818755114372186,4047,4400000,0.0009197727272727273,0.0008914477102818805,0.0009480977442635741,314.06331870914437,3.140633187091444,14.009913727221555
"galois RS(15,11)",BSC,0.013924766500838338,100000,4459,0.04459,0.04331070795645779,0.045869292043542204,15222,4400000,0.0034595454545454547,0.0034046815489525194,0.00351440936013839,437.5867984580109,4.3758679845801085,10.05514795122917
"galois RS(15,11)",BSC,0.02322791048043382,100000,14448,0.14448,0.1423009107349368,0.14665908926506319,51502,4400000,0.011705,0.0116045016940297,0.0118054983059703,566.3371739570284,5.663371739570284,7.769223357274893
"galois RS(15,11)",BSC,0.038746489950446536,100000,37800,0.378,0.3749946354204523,0.3810053645795477,145290,4400000,0.03302045454545455,0.03285348783128772,0.033187421259621375,658.9093584169168,6.589093584169168,6.67770148320758
"galois RS(15,11)",BSC,0.06463304070095653,100000,71715,0.71715,0.714358490152258,0.7199415098477419,320097,4400000,0.07274931818181818,0.07250663326931486,0.0729920030943215,778.3953144149855,7.783953144149855,5.652654786735047
"galois RS(15,11)",BSC,0.1078144099141388,100000,95187,0.95187,0.950543360812018,0.953196639187982,556337,4400000,0.12644022727272727,0.1261296864635361,0.12675076808191846,689.9866409578826,6.899866409578826,6.37693505760002
"galois RS(15,11)",BSC,0.17984527509568232,100000,99868,0.99868,0.9984549618166586,0.9989050381833414,868518,4400000,0.19739045454545454,0.19701853845586514,0.19776237063504393,697.5407484989846,6.975407484989846,6.307875216563645
"galois RS(15,11)",BSC,0.29999999999999993,100000,100000,1.0,1.0,1.0,1367893,4400000,0.3108847727272727,0.31045228341289777,0.31131726204164767,677.1416379169095,6.771416379169096,6.497901995121313
