code,channel,p,n_blocks,frame_errors,fer,fer_ci_lo,fer_ci_hi,bit_errors,total_info_bits,ber,ber_ci_lo,ber_ci_hi,decode_time_total_s,decode_time_per_block_ms,throughput_kbit_s
"galois RS(15,11)",Burst(<= 8 бит),0.001,100000,29,0.00029,0.0001844660755282928,0.0003955339244717072,191,4400000,4.340909090909091e-05,3.725292022948048e-05,4.9565261588701334e-05,40.98775262595154,0.40987752625951546,107.34914012372867
"galois RS(15,11)",Burst(<= 8 бит),0.0018846716378431187,100000,47,0.00047,0.0003356607506884157,0.0006043392493115843,312,4400000,7.09090909090909e-05,6.304107383634953e-05,7.877710798183228e-05,41.67637804104015,0.4167637804104015,105.57539322796164
"galois RS(15,11)",Burst(<= 8 бит),0.003551987182490267,100000,69,0.00069,0.0005272463513699309,0.0008527536486300691,450,4400000,0.00010227272727272727,9.282369260502761e-05,0.00011172176194042693,42.69587991514709,0.4269587991514709,103.05444011798022
"galois RS(15,11)",Burst(<= 8 бит),0.006694329500821696,100000,119,0.00119,0.0009763164978235336,0.0014036835021764666,778,4400000,0.00017681818181818182,0.00016439437200762894,0.0001892419916287347,44.91431224893313,0.4491431224893313,97.96431871456554
"galois RS(15,11)",Burst(<= 8 бит),0.01261661294457514,100000,212,0.00212,0.0018349223559631516,0.0024050776440368484,1390,4400000,0.0003159090909090909,0.00029930396452709947,0.0003325142172910824,49.22260516602546,0.49222605166025457,89.38982374376597
"galois RS(15,11)",Burst(<= 8 бит),0.023778172582285134,100000,380,0.0038,0.003418652293883915,0.004181347706116085,2491,4400000,0.0005661363636363636,0.0005439100576523343,0.0005883626696203929,57.20734870899469,0.5720734870899469,76.91319558230444
"galois RS(15,11)",Burst(<= 8 бит),0.04481404746557166,100000,676,0.00676,0.0062521253688178555,0.007267874631182145,4473,4400000,0.001016590909090909,0.000986813837726966,0.0010463679804548522,72.03085937502328,0.7203085937502328,61.08492996163949
"galois RS(15,11)",Burst(<= 8 бит),0.08445976423531824,100000,1265,0.01265,0.011957313219672845,0.013342686780327155,8446,4400000,0.0019195454545454546,0.0018786465468903198,0.0019604443622005894,99.81367362604942,0.9981367362604943,44.08213664677387
"galois RS(15,11)",Burst(<= 8 бит),0.15917892219322097,100000,2454,0.02454,0.023581045319540906,0.025498954680459093,16414,4400000,0.0037304545454545455,0.003673490734458863,0.003787418356450228,151.36572304100264,1.5136572304100264,29.06866833257955
"galois RS(15,11)",Burst(<= 8 бит),0.29999999999999993,100000,4642,0.04642,0.045115971130236146,0.04772402886976386,31165,4400000,0.007082954545454545,0.007004594722940551,0.0071613143679685395,191.97754345810972,1.9197754345810971,22.919347340018955
