code,channel,p,n_blocks,frame_errors,fer,fer_ci_lo,fer_ci_hi,bit_errors,total_info_bits,ber,ber_ci_lo,ber_ci_hi,decode_time_total_s,decode_time_per_block_ms,throughput_kbit_s
"galois RS(255,223)",BSC,0.004,10000.0,42.0,0.0042,0.002932445102727302,0.0054675548972726975,666.0,17840000.0,3.733183856502242e-05,3.4496595941256646e-05,4.016708118878819e-05,1100.72,110.072,16.207573224798313
"galois RS(255,223)",BSC,0.0048313,10000.0,202.0,0.0202,0.01744259554044025,0.02295740445955975,3193.0,17840000.0,0.0001789798206278027,0.00017277224796158748,0.00018518739329401792,1098.4099999999999,109.841,16.241658397137684
"galois RS(255,223)",BSC,0.0058354,10000.0,810.0,0.081,0.07565243174517614,0.08634756825482387,13268.0,17840000.0,0.0007437219730941704,0.0007310716273445187,0.0007563723188438221,1204.81,120.481,14.807314016317926
"galois RS(255,223)",BSC,0.0070481,10000.0,2418.0,0.2418,0.23340779450432722,0.2501922054956727,40996.0,17840000.0,0.002297982062780269,0.0022757626596321824,0.0023202014659283554,1138.1100000000001,113.811,15.67511049019866
"galois RS(255,223)",BSC,0.0085129,10000.0,5259.0,0.5259,0.5161131567075793,0.5356868432924208,94213.0,17840000.0,0.005280997757847534,0.005247364661988716,0.005314630853706352,1089.55,108.955,16.373732274792346
"galois RS(255,223)",BSC,0.010282111886861619,10000,8106,0.8106,0.8029202097566144,0.8182797902433856,159655,17840000,0.00894927130044843,0.008905569389676998,0.008992973211219862,1070.1329985839548,107.01329985839547,16.670825050350416
"galois RS(255,223)",BSC,0.012419004722719295,10000,9587,0.9587,0.9547999294712018,0.9626000705287981,216333,17840000,0.012126289237668161,0.012075499809656326,0.012177078665679996,1043.1274547078647,104.31274547078647,17.102416314980626
"galois RS(255,223)",BSC,0.014999999999999996,10000,9967,0.9967,0.9955759250480507,0.9978240749519494,267743,17840000,0.015008015695067264,0.014951595233842988,0.01506443615629154,1023.7172818749677,102.37172818749677,17.42668636728055
